	备注	弹幕填充ing
374	上一年年薪12，80%是月薪，20%是年终奖，今年没年终奖	顺德建筑设计院？肯定不可能是顺德院，顺德院待遇没这么差,碧桂园（必须是）
375	甲方设计管理，裁员比较多，私企不太稳定	
376	全案设计整装公司，因为背景比较雄厚，前景是不错的，可是管理失责，亏到底裤没了，股东已经不管了，自负盈亏了，能站多久站多久	
377	早8晚6，偶尔加班，裙带关系严重晋升无望混吃等死	东莞没有国企设计院吧？是地产吗？
378		
379	混吃等死，只会画饼，全是百十平垃圾项目，影响后期职业发展	
380	小国企一年12个月大概2个月在加班，965，加上单位年金单位五险一金达到谈的24w年薪	
381	专门打野做包皮项目，平时996，偶尔007，一年出差+加班200-250天左右。日常晚上喝酒，酒后画图	
382	专门打野做包皮项目，平时996，偶尔007，一年出差+加班200-250天左右	
383	上班比较轻松，一般不用加班	
384	今年比去年加班少了很多，但工资也少了15%。今年卷王们都不卷了。同事都在抱怨工资比去年少，直到大家看到这个表，，，	
385	公司内部管理混乱，老板抠门，经常会接一些急活	
386	小国企，上班轻松	是中轻吗
387		
388	每天都加，没有休息	
389	私企（平时假日发奖金2/3百）忙的时候很忙，闲的时候很闲，刚来公司第一年，看今年怎么发放年终再做决定	
390	广东	广东
391	今年年中算比较忙，其他时间还算好，今年很少加班熬夜画图了	请问是哪个设计院?给点提示
392	把我领导的数据发出来给大家看看吧。没见过他加班，天天坐在电脑前划水。	hhhhh
393	谢了，入职以来最低的一年，大部分时间在啃几个旧公建项目的施工配合，投入与收获不成正比	
394	公司很多回款收不到，已经欠部分工资四个月了	
395		
396	"广东某省级设计院，福利几乎为0，风险嫁祸员工，项目做得多却没钱
"	盲猜是某省院，新城分院......
397	福利比之前少了一些，但不至于像设计院那么惨	
398	比去年略低，社保公积金个人公司部分都算在总收入里面，算起来满足答应的年薪25万	是市政水吗？
399		
400	千万别来	整个公司最具竞争力的岗位可能是保洁了
401	央企，包吃住	广州央企是甲方？某海？
402	算是一线设计院了吧，这一年干的太累，起早贪黑。（有幸在产值前三的部门，据说院内收入差距还是蛮大的）	规划就是吊啊。。
403	地产设计院，没事干，每天5点半下班	五点半也太爽了吧
404	国企	
405	中型民营企业 ，运营成本与风险全部转给员工，产值够，回款够，就是不给你发，对外口径都是没收到钱	说出来避避雷
406	中型民营企业 ，运营成本与风险全部转给员工，傻逼公司赶紧爆炸吧	说出来避避雷
407	23年还要降薪了，要跑路了	
408	国企，23年准备降薪，基本确定了，感觉没啥大毛病，就是我不适合设计	
409	国企   工资继续打折	
410	工资开始打折，反正挺心累的。身体也差了，赚的估计不够以后看病。	
411	央企施工单位，包吃住。基本上白天看现场晚上做内业，休息需请假（一个月上限4天）。经常与外部扯皮及部门间内耗，已准备年后跑路	
412	某规院	对行情了解不够入坑
413	垃圾公司	税前30，慕了慕了
414	等待裁员	深纺织？？？？？？？？？？？？？？？？
415	港资外企设计事务所，活太多人太少，工作日基本都要加班，一般周末双休	AEDAS?
416	垃圾公司	
417	累，想着跑路了	
418	已裁5年内员工	这点钱怎么在广州活了这么久的？？
419	早九晚六。	设施
420	物业公司，翻新旧物业出租。不止室内，什么都做。	设施
421	就这吧，该摸鱼就摸鱼，摆烂	广州赶紧换一家，2.3年税前基本达到12w了
422	国企，但是感觉所长即老板，今年打了两次折，赚钱没你份，背锅加班的事到处都有你，已躺平两个月	
423	民营地产，没什么事做五点半准点下班，奖金画过饼但从没发过	
424	还行吧，愿意卷就卷，愿意躺就躺	成都某国企设计院 清华环艺刚入职 年薪20
425	某上市景观公司	SS某德？缺德玩意
426	性质同楼上，906	
427	只会做地产的私企，产值比去年一半还要少，加班改图却比去年还要多，死磕某些老项目但还是没过报规，回不了款，年终无了还要降薪	
428	gz某民营灯光设计公司	
429	民营企业 加班熬夜是常态	
430	别在建筑设计院干建筑（还是在设计院不过字面上不是建筑设计院）	估计是广州城建
431	先干着吧	
432	先干着吧	工作3年到手5.8，怕不是包吃包住？好惨
433	2	2
434	干几把	
435		
436	往年20w年终，去年折半，今年负数，活还是一样干也没闲着，毁灭吧	
437	建筑、景观、室内都做在	一个尿性
438	南沙	我知道你是谁了，哈哈哈哈电建
439	结构真心累  干疲了已经	三年以上的硕士你是我见得最低的。
440	996还年终打8折人麻了	
441	还没转行是我对这个行业最大的尊敬了（我是本地的，这个工资里没有包吃住所以这个工资属于是摆烂妥协了）	"4.5在广州怎么生存啊...
我们单位应届生也差不多是4k一个月到手，包吃包住咯。"
442	麻了，	
443		
444	拉低业内薪资下限，公司领导甩锅给下属	
445	年底已被裁，躺平中	能转行的早点趁早转吧
446	忙的时候特别忙，闲的时候能闲好几天，说不定明年就抄人了。	
447	降薪一次裁员两次被裁的为什么不是我，都是些别人遗留的垃圾项目	
448	从bxhh跳出来，又进了另一家画图工厂（这家出了名的臭，正宗吃人不吐骨头的血汗工厂）	找个晚上一起打steam的（吃鸡吗？）
449	刚从重庆回来，年终不是很清楚，电气同事说他去年2~3W年终	
450	刚私企转国企，固定薪酬，摸鱼	没赶上我院好时候，以前是事业单位的时候福利巨好
451	迷茫	是那家单位呀？我也做BIM的想要了解
452	近几年从事业单位改制成国企，福利越来越差，现在又要变相降薪，未来看不到希望	怕不是省建院吧
453		
454	每天准时6点下班，周末不加班。评不上职称！	
455	干疲了，看不到钱	
456	说是年底降薪控成本，但是主要是制裁正式工。包吃，摸鱼好地方	哪家啊？
457	干最苦最脏的活；拿最少最贱的钱；日狗的建筑	硕士6w？你这还没上面那个大专赚的多，哪家啊，避雷
458	幕墙算不算建筑行业啊，咋没幕墙狗填	算，不然算哪个行业？
459	没希望，晚上21点后才算加班，周末老板提倡到公司加班	
460	没啥好项目，领导比做事的人多，要命，好想被裁	
461	累累累，干成狗，压力大，经常失眠，一年下来身体一堆小毛病，某省级大院的市政板块	哪个国企啊这么高
462	收入与工作量和产值无关，大锅饭，全年好忙，水专业是机电最底层	这个是哪个国企，这么高
463	十八线国企地产，包吃住，公司内耗重点不在搞设计，无语	
464	啥活都干，身体不好，压力大	
465	某豪宅地产设计院。这两年工作相对轻松，没啥项目。就是没有年终奖。加班可以调休，中午包餐。就是阶级观念太重，领导高高在上，下面的人阿谀奉承。而且人事恶心，好像公司是他家产业一样，扣得要死，整天想着怎么整人。工作方面就是修改版次比较多，因为老板看图纸，有啥想法立刻改，改来改去可能又改回原来的。	
466	此前干建筑，在地方国企（某世界500强），垃圾单位，浪费我青春。从设计院出来上岸后，无欲无求，够满足日常生活就行，主要是要有个人生活，总体正常休假，赶项目时可能会加班到疯掉（这种情况较少），目前就等着好好工作等退休了~~【各位可以run的赶紧跳坑，岸上风光独好~~】	能进事业单位我也想躺平【能润就趁早吧！~】
467	同事说今年年终只有去年一半。。	
468	之前做结构设计加班比较多，厌倦了加班生活润去做咨询【写写文档开开会】现在转行做前期咨询刚好1年，年初3~7月比较忙，年中正常上下班，年末项目都停了上班在看书，半退休状态	
469	平时挺自由，不加班，过年可以元宵后回来，但是公司即将倒闭	
470	平时挺自由，忙的时候忙，闲得时候很随便，今年新项目落地的就没有，都做一半搁置着，估计23年得凉凉。	
471	暴雷房企地产设计部	等待裁员，还没谈拢，0.8N分八期，不干啊，挺着。
472	公司越来越不行，靠名气苦苦支撑	
473	月发低	好羡慕啊！求内推             哪个院，求暗示！可以了    工作五年 全年55w 牛     写错了啊，淦，35是包括年终奖的 你还想咋地？！！
474	12月底被裁，部门解散，拿了n+1走人	
475	每年都有每年的说法，去年打折，今年归零吧	
476		仿佛是我本人。。
477	管理有点一言难尽，年后准备跳槽了看看其他行业，反正物欲不高降薪也能接受	这是哪啊  广州拿来这么高工资的景观公司
478	恶心的大小周，兼顾景观、幕墙，地产加班不多但是心理压力会大些	
479	团队氛围好，工作安排较合理，就是去年开始受政策和大环境影响导致合同急剧萎缩，从去年开始发不出年终。下半年大规模裁员、降薪，但团队确实挺好的，尽量减少不必要的投入和竞赛行为。	                          啥公司啊求求
480	某老牌事务所，团队氛围尚可，但公司项目管理混乱，有经验的人少，工资深圳洼地（摊手	辞职去哪呢
481	还行，就是两个月加班了22天	
482	前两年疯狂扩招，现在都在吃闲饭，管理混乱，去年还发了三个月的基本工资	
483	设计工作室	想跑路
484	某设计事务所，员工人数一双手能数过来，加班9106，建筑景观室内（设计图+施工图	
485	某设计事务所	
486	国企	深圳一月3000咋活的，兄弟
487	"方案部门13人团队，不怎么加班，感觉还能混一混

"	羡慕了 天花板在深圳么
488	大型民营企业 	公司是不是C打头？
489	新媒体钱少心累，虽然不怎么加班，没啥前景和晋升道路。找工作还是找离家近的吧，每天通勤三个小时就算上班时间短也觉得很累	是深圳有方吗？
490		这是在中建吗
491	原室内设计，卷不动了，换到污水处理公司继续卷。大小周，基本不加班，主要处理相关CAD文件，适合养老，准备跑路	我也室内兄弟，咋换的，人家要不
492	国企，不过不怎么加班	月发呢？
493	还有两个月工资没发，诶	
494	上市公司	ccd？
495	"（这里本人编辑，有问题在后面的格子填，不要改我的内容啦）
渣渣本科毕业的，工作强度大部分时候965，产品上线的时候996，目前组里资历最浅薪酬最低...希望今年领导能给我涨点工资（私心许愿：今年实现月入一狗的目标~）
更新：问了老员工说涨薪很不容易，去年的申请压到现在，算了这个还是不太指望了。"	6啊好顶！
496	"（这里本人编辑，有问题在后面的格子填，不要改我的内容啦）
渣渣本科毕业的，工作强度大部分时候965，产品上线的时候996，目前组里资历最浅薪酬最低...希望今年领导能给我涨点工资（私心许愿：今年实现月入一狗的目标~）
另：本人女，部门产品+项目经理男女比6:4,研发男女比7:3，也有很多技术骨干是女生，建议学妹们往泛互联网等职场歧视不严重的地方跑！
"	你这描述，看着不像建筑行业 ，像IT行业啊！
497	某大型上市公司	上一个25下一个25，慕了
498		华阳吧
499	深圳小地产，工作不是很忙，平时月发不多	私人地产都这么稳了吗
500	地产公司，月发会多一点，年终奖不指望了，只希望年前把欠的工资补齐。想换工作！！！	能大概透露一下哪家吗？拼音缩写就行~
501	暂时做包工头，还不叫创业，炒更，没办法呀	
502	中小公司，裁员降薪了，以前有年终	
503	今年8月从私企TOP地产跳槽到国企，薪资没怎么涨	天花板了。。。
504	住宅设计	
505	外企 年底已经没什么项目 坐等被优化	看来都是要去国企才能狗住
506	按3000标准（到底有没有正规交社保的设计院。。。	h开头私企。日常11点半下班，忙时通宵，潜规定周末加半天班
507	最低档	某假外企。工资一年比一年低；无效加班多
508	管理层乱得像拍电视剧那样难以启齿，已在投简历找工作哪怕降薪也接受了。	
509	上市私企，财报上平均工资30呢，我就是内个被平均的，哈哈	HY?
510	国企大院分院，强度一般。	上海市政广东？
511	进公司的谈年保底基本属于放屁，经典活多钱少，天天加班，假期没有，调休超过两天领导会让你懂事点，不要调这么多，一年没休息，领导有个某总是傻逼，另一个精通pua，真是个适合牛马的好地方	
512	 	招人吗
513	地产	哪家啊？
514	月发低	
515	太忙了┭┮﹏┭┮_	还是自己做老板好
516	自己创业	哇塞，这个好啊。羡慕
517		
518	准备提桶吧	HY？
519	按照最低的月发，年终看效益，不一定有	
520	今年一整年没啥项目，同事被裁。没被裁的倒是很闲	
521	平时加班较多，基本能保证双休，忙时不保证（两三个月左右）。需随时回复消息。已离职。	
522	负责报批报建和规划方案，心理压力极大，各种职场PUA	是zssk吗
523	今年项目不多，朝九晚六双休	这也太惨了，心疼
524		
525	公司取消2022年终，明年降薪裁员。裁员一半左右。	HH?
526	年中月薪降薪20%，团队缩小一半,项目压力极大，忙时一周通三四个宵，大部分节假日加班，没啥生活。	年中降薪的THer哭哭
527	年终延期 时间未定 	
528		
529		
530	公司今年疯狂裁员，规划还好但是做的项目都没钱，还在不断疯狂做竞赛做项目理解，加班超多	
531	22年就是太好了，工资扣30％年底发。	
532	下面那条智能化是我写的，不知道为什么被锁住了，电气专业不要转智能化设计，电气专业不要转智能化设计，电气专业不要转智能化设计。重要的事情说三遍，钱少，工作量不比做电气的时候低...	所以是两边都在做吗，电气+智能化设计
533		
534	无底薪，（这个月没有项目回款就借发个合同工资，但是下个月有回款了，就要把上个月的合同工资去掉再发，有规划的小伙伴，上了2年班，欠公司2万多）管理班子陈腐，棒棒的人不是自己走就是被逼走，剩下一堆乱七八糟的..	
535	6年以来一直在这家单位从事市政给排水设计（主要是路桥），这两年只有轨道部门在赚钱，市政板块年年完不成指标，国企又不喜欢开人，就一直分摊亏损，降薪恶心你，逼你走。	市政院？
536	转市政给排水刚满三年，我这应该算还可以了😂	
537	毕业后就入职的单位，到现在已经干了四年，因为怀孕被降薪6万	央企也干这事吗？？
538	工作强度不大，周末很少加班，但是估计要降薪了	慕了慕了
539		
540	基本每周末都加一天班，很少双休，还经常要出差真的受够了	新城市？
541	看到居然有智能化的盟友很欣慰，这个专业的人太少了，我也不知道是不是自己幸运拿到这笔年薪，但算一算性价比还是不满足。需要统筹所有项目的智能化，只有一两个成员，有时候同时四五个项目的问题攻打过来真的只想辞职。	
542	到点儿下班，加班少	
543		
544	舒服摸鱼，月发7：3	电建院？
545	行情什么时候变好	
546		
547	9点下班的时候 还有百分之八十的技术人员在没下班 （小组长）领导比员工还卷 （主要是因为甲方恶心）经常11 12点下班  	
548	965基本不加班，没活，都是琐碎的移民，私宅，厂房，市政项目，闲的自己找事干	
549	拿提成的	
550		
551	技术人员岗位，挂合同编，年底刚从设计院转成专业类的行政岗，不知道算不算转行，收入低但稳定，城市收入水平而言算可以，还是很想回去干设计，先把证搞下来把。	
552	不加班，有周末，完全没项目，每天来坐着学习；学习的时候领道说你不画图，画图的时候领道说你一直搞磨洋工，反复折磨，年后降薪准备跑路	睡后几W
553	摸鱼，一年两三个项目，但是还要学习和处理别的专业的内容，老板人还挺好，适合养老。	
554		
555	兄弟什么院的	
556	长期公司第一个下班  卷的厉害	
557	还行，越来越难，甲方越来越卷，明年难办，坐等裁员	
558	加班多	
559	"唉，一把年纪还要跟小年轻拼画图

"	
560	跟我一样哎，ccdi吗	ccd吗
561	中国广东省江门市江海区	
562	没啥福利，机电咨询公司，但是老板和同事氛围好，很舒服，就是容易失去斗志	
563	中间经历一次裁员失业，去小公司试用再失业，再找。今年第三家。中级职称，税前7k,其他啥都没了	
564	福利好，有年假 双休 带薪病假，偶尔加班	
565	环境氛围比较好，收入还算比较满意	
566	公司氛围挺好的，加班也不多，对比设计院算是养老了。公司小，小白很怕被裁5555，加油吧好好干。	
567		
568	小公司，大项目看当年行情，幸亏时间自由，随便请教	大佬哪家公司，想回佛山了，深圳待不下去了
569	"top地产公司下属设计院，去年加班多，税前23，今年加班少，税前预估16.
项目住宅多，学习成长少，但公司提供吃住，不怎么花钱，适合存钱。"	
570	央企框架内设计院，从不加班，955，每天上班摸鱼，做炒更私活	"什么炒更这么赚钱？能分我点汤喝吗？
大佬缺建筑搭档吗，能不能带带我一起炒？（我都是和装修单位园林单位合作做一些小结构）"
571	自己创业出来单干	
572	今年比去年收入低，年终奖是去年的7成。看了这么多，感觉在这边收入还算可以了，如果不考虑转行，那估计就可以在这边干到退休了。	
573	今年项目少，按绩效发工资，前两年负责项目稍微多可以达到税前20w+，但是准备改制并入区城投，估计年后工资会低。也准备降薪就要换公司了。不用打卡的神仙国企。。	
574		
575	事业单位改制的国企，人浮于事，今年开始说绩效不好，每个月扣了2000奖金，大几率不会补回来了，然后院里暗示裁员，开始卡报销流程，这不给报那不给报。结果年会的时候说完成集团经营指标120+%，所以到底是有钱还是没钱谁知道呢，估计就是找由头扣基层钱。	规划省院？
576	AY？	
577	心累，带新兵压力大。	我跟您年纪应该差不多
578	垃圾国企地产，拿地烂的一批，卖又卖不掉，回款回不了。一年到头不干正事，动不动就扣分扣钱，每月8000绩效基数到手只有1600。	这种企业，拼音缩写一定要带出来，让各位小伙伴查一下眼睛才行
579		明年公司你们还招人吗
580	今年年薪5折+八折，沤死了，创历史新低	
581		
582	市政道路，什么烂活都做。事情不少，不过一般稀碎。地方比较偏，为人民服务。	
583	市政道路，厂房，活不多，零零碎碎，但要与甲方监理对接和施工沟通	
584		
585	有住宿，偶尔加班，深圳民营头部系列设计企业，已上市，提供住宿	是HY吗
586	经常加班，跑了一批同事后改制度自愿加班只要完成安排的工作就行	
587		
588	私企	准时上下班，不加班，单休
589	辣鸡公司，抠门至极	
590	躺平，全年无加班。按产值计算工资也是超发的，领导心软还是给了点年终意思下。今年项目少以及还没合同提前做的，收入就成这样了。四十岁上有老下有小，不知道是继续躺还是跳槽	一注+高工还这个价？还不润？
591	广东	广东
592	小工作室人少有活就加班干，没活5点半下班	
593		
594	30多岁转行工程，公司是电建下面的战略合作商。	
595	也算垃圾公司，没啥规章制度，要处理的小破事不少，也很烦。双休，但有事情就没得休，要你随传随到。	
596	天河珠江新城物价太高，办公室氛围，不算活泼，公司还行，同事挺好，跟项目情况定，事儿多的时候加（算是，经常吧），看你在那个项目组，btw，离职的时候，听说实习变成了2500	实习两千 转正一年了才4500待不下去了 同广州
597	公司勉强可以，就是钱少事多，服侍大部分中海地产，你懂的。	L开头的？
598	不包吃不包住老月光了，大小周，忙特别忙，闲特别闲	有没有广州深圳东莞这三个地方的景观公司推荐啊，要求不高，比现在工资高点点就好，最好包吃住，哈哈哈
599		10年工作经验的画图狗，2022年经历了裁员失业找工作，简历每天投，面试就2家。很焦虑，每天上班心不在焉，想提桶跑路了。
600		wow，牛逼啊
601	"大型院下的一个副所长（承包人，你们懂的）三个好多好多年的兄弟撑起的平台，这三年真的好难。上半年发五千的工资，下半真撑不住了发最低工资，当然只是我们三。团队流失好多精英，感觉自己好没本事，年后再看吧，如果还这样打算去朋友的地产公司当个打工人。
"	
602	卧槽，真实存在的吗	真的假的害怕
603	部门领导昨天说1，今天说B，明天说III，后天说“我从来没说过”	
604	还可以，加班有餐补。	
605	规划院中的交通专业 双休 偶尔加班 领导人还不错	
606	公司不是专业设计公司，部门就我一个人加一个领导，竣工图施工图外出看现场都是自己弄，领导不会专业画图，连CAD布局都不会用...有时候方案也要出，主要是领导还事多，觉得你领了我提成就要无条件加班，周末有需求就要加班	
607		
608	古建修缮工作很繁琐，感觉不是很感兴趣。但是也没有其他好工作。害。	兄弟你这家是啥拼音暗示一下，自己对古建有点兴趣
609	说是设计院，但工作内容包含但不限于农村工程、自建房、厂房方案设计、公园规划、楼盘规划、效果图、SU建模、规划文本等各种各样工作。老板能力确实有，但是个画饼大师，PUA能力无上限，并且已经将公司当成家，只要晚上他在公司，看你不回来加班，就会说你状态不行，态度不行。	同城类似境况，只想问下，能否透露是哪家？一只字也可以
610	垃圾本科毕业的，做了3年互联网前端，朋友带我入门做电气设计，今年又是碌碌无为还不清欠款的一年，失败的人生。	
611		
612	被基准和中泰带坏了，本来可以良性发展的市场，被基准卷上了天。现在成都简直是设计人的地狱，要求高到造航母，收入却和手机贴膜看齐	这话说的真的绝了，成都的设计行业烂透了！
613	内卷重	
614	平常发的很低，也不知道今年年终奖发不发	
615	方案尽量去纯方案公司，到有施工图的公司，领导会觉得方案是送的	
616	成都绝大部分私企太tm垃圾了，尤其是小点的公司，大JJ或者其他的私企也垃圾起码要正规些，不像小公司，工资不行福利待遇也不行，啥啥都没有，真辣鸡。	
617	同楼上，观堂全是挂靠的小公司，全是垃圾打野公司。工资不行福利待遇也不行，啥啥都没有，真辣鸡。	你说是雷老板？还是徐老板？
618	正规纳税，不避税有点不划算，不加班，其他都还可以	你们那家公司？这么好？/羡慕+1
619	卷死，经常加班，项目节点前一天必通宵，垃圾领导天天画饼，全年净做无用功	你确定不是来装的？
620	平常发的很低	哪个公司吖
621	我TM发现我是硕士最他吗低的，艹	这也太低了吧。第二个评论成都真的行情这么惨？
622	每月拖工资，还降薪，准备跑路	成都卷得很，工程行业到处都是皮包公司，外包，价压得很低
623	悠闲	
624	今年月发年终都骨折	
625		情况属实
626	重庆赛迪工程咨询有限公司四川分公司，建筑领导打压员工收入待遇低	
627	没证	还可以啊~哪个院，哇，哪个院
628	除了画图快 会舔领导以外 其他一无是处	会舔这个技能强大啊！
629	今年收款不行，比较闲	
630	一注，国企	大哥 成都的都这么黑吗？
631	垃圾省院，还我血汗钱	天哪，好惨
632		哪家公司？？要人不····
633	设计公司，去年年终4k	
634	小公司，领导比较好	明年你们公司招人吗
635		明年你们公司招人吗
636	今年比以前加班少，但是也想转行破跑路。	
637	注册给排水、国企	
638		
639	设计公司	
640	政府	编制人员吗（非也）
641	辣鸡小公司，平时福利几乎没有。领导持续画饼没兑现过，半摆烂状态现在	
642	今年加班不多，但领导恶心，福利还可以，关系户多，本科更受喜欢，硕士嫌弃太老了，没有几个有水平的，做项目都是一问三不知	
643	央企设计院	半年7.8 这是哪家神仙设计院
644	小国企	哪家啊？
645	某省级大院	省院吧？
646	私营	
647	忙的还是是真的忙，不过基本不会通宵啥的，但是有点很不好的就是要驻场设计，会有3-6个月，一年可能有那么一次，运气好就没有。	"哪个公司啊？想换工作了
（不方便透露，现在也不好进了太多人想来了，现在社招进来比校招的少很多钱。。。）"
648		
649	小公司、人少、什么活都干，不忙，基本准时下班	
650	干着脏活累活	成都力方？
651	今年加班不多，但领导恶心，需要全过程都会	
652	好耍。一年最晚加班到十点。而且就一天。其他时间天天准时下班（平时福利基本没有，本金	请问哪家公司
653	不忙	
654	国企大院。忙的批爆。	
655		
656	央企，装饰设计，转正到手12w左右	哪家啊还招人不哇
657	小事务所，明年解体了	哪家
658	小型民企，明年并到某省级大院，不知道有没有未来	并了基本上钱更少了，省院薪资结构很垃圾
659	小型民企，但老板很好	哪家还招人不
660	小国企	
661	工资一直在降，加班也蛮多	不会是芥子吧
662	私企（方案、建模、出效果图、现场等，除了施工图其它都是一个人干完）	原薪资税前10k，实际每月到手约7k
663	景观设计单位，好处不加班，领导人好	
664	建筑设计单位，不怎么加班，按时发工资，上级领导还可以，再往上不行	分这么细吗
665	加班多，项目后期也多，没啥产值	7年9w吗 成都市场已经这样了吗
666	建筑设计小单位，全专业两三个人，月发8.5K，全年收入理论上平时月发0.7，年终0.3.据说今年没有回款，没有年终了。已经两个月没有发工资了。	
667		
668		
669		
670	上半年几乎就单休，平均下班时间8-9点。但是不知道最后能拿多少......	"8.9点真的很早。。。

"
671	赶项目就忙得批爆 	
672	忙得琐碎，集中3个月左右加班8、9.？，其他时候开摆5.30下班	西南院？
673	每个月有一定的福利，全年算下来到手15W。不过加班不多。	
674	欠发8-12月工资~扣绩效8-12月的~说没钱~忙的时候还是比较忙。	
675	公司老板同事和氛围不错，但年终没回款，月发扣1k,，老板承诺半年补回还是做到的，年终不清楚。今年还扩招了，一个人负责一个专业，由于行情和前景，市场太成熟没法赚钱，要求还更高了，所以很多细节不好做。适合当跳板吧，没找到要跳的行业，但跳是一定的了。	
676	没事做，准时上下班，养老单位	
677	今年基本过上早九晚六的日子，钱少事少离家远	
678	忙的批爆	
679	基本上朝九晚六，全年加班不到十次（周末节假日这种），上半年疯狂招聘，十一过后开始裁员降薪，概念设计占大多数，可落地的少，设计单价其实并不低，但是回款问题相当大，导致年终奖希望渺茫，人员不稳定（被裁员）	
680	国企今年骚操作了，遂半年跑路，后进氛围不错私企，但不看好行业远景，努力学习转行ing	兄弟准备转哪行
681	麻了，已经，公司接不到新项目，管理模式也很垃圾	
682		
683	自己水平还没到主创水平但是专业没人直接做主创的事情，毕业一年就做项目负责人真的无语。手上经常好几个项目要出差要汇报，方案基本上就只有我一个人，遇到要求高的业主太头疼。加班不算特别多985多周末盯效果图改ppt也恶心。业主动不动打电话催压力比较大。	
684	集团下的设计部门	请问还招人吗？23届应届硕士还没找到工作
685	"1. 前半年画饼，后半年打预防针；
2. 先保证领导后保证员工；
3. 平时不舔的，年底受排挤；"	自诩央企的压榨都很严重，还要搞队伍
686	下月工资都是猜，每月不固定哒	
687	不加班，但杂事很多，设计工程一把抓，还要兼资料助理等工作	
688		
689	双休，早八晚五，忙的时候也经常加班	还招人吗 俺也想去
690	事多得很天天加班，到年终各种借口说效益说收款，就是没得年终的样子了	
691		
692	暴力裁员、没有任何福利、今年没咋拿地，摸鱼多，基本不加班、指不定哪天失业，人到40。。。。	
693	事情要的急，只要做完了就可以休息学习，事情太多了	
694	铁2	
695	每天加班控制在1小时之内，但是做工业项目，一个项目就一个办公楼是民建	我现在就喜欢这种公司 求问哪家神仙公司
696		
697	擦钩子	
698	福利多，工资低，人少	swjtu？
699		哇，这个好香，工作节奏怎么样
700	饼画的一年比一年大，听起来蒸蒸日上，钱越欠越多，一年中五个月都在拖欠工资，一年不如一年，天天都要加班	
701	平常8点半回，个别通宵，9点上班	
702	公司开会特别多 还爱甩锅 skr skr 	
703	今年全年无休强度拉满，堪比基准，项目都是反复修改工期很长的，做无用功很多，乱七八糟的事很多	
704	最近几年基本收入6折	全年税后50W？这还是六折后？是院总吗？
705	比较自由，没什么大理想了，混口饭吃还能不那么累就很满足了	
706	将个烂就...好几个月没发工资了全是预借，偶尔加班到22 23点，节假日福利zero。感觉就是你抄我我抄你，在学校对这专业的喜欢快被耗尽了。没有师傅带，大概率年后转行	
707	和楼下重庆那位一样 自诩综甲，乱七八糟的事很多，经常加班。一年项目就没断过，就是没钱。垃圾中的垃圾。	
708	不咋加班，福利还行，唯一问题钱少	
709	施工单位驻场深化设计，看啥项目，幕墙、景观、室内都让要学会，包吃住，平时7、8点下班，上6休1，春节假多。工地上不养闲人，但相对大多设计院心没那么累，但没多少自己的私人生活。	
710	领导不去认真搞项目，老是想的怎么搞内部斗争，太垃圾了	
711	为自己感觉不值，被分配了个很恶心的项目，做了大半年没产值，年底也没领导说愿意给倾斜一下。失望了，愿早日硬着陆	
712		
713	在建筑工作做景观配套，杂，乱，对个人而言没有什么提升，反正水水就是了。但是时间很急，经常是今天给资料，后天就要的那种，所以，质量很一般。	
714	本来觉得挺差的，看完这个表我沉默了	
715	原来是大平台公司上的团队，现在出来自己开公司，不算严格意义上的公司，更像私人作坊。前后期比例失衡，1个人画完一个项目的全部施工图，还要跑现场管理外包，方案还反复。	
716	机缘巧合，年薪制，加班少，项目少。	
717	加班强度大，就那样	
718	朝九晚六，周末双休，正常节假日，下班不打扰，同事和谐，领导挺好，国转私，感觉像在事业单位	我也是古建筑和新建都会的  这是哪个单位
719	自诩综甲，乱七八糟的事很多，经常加班。一年项目就没断过，就是没钱。垃圾中的垃圾。	煤院的吗？兄弟！
720	垃圾领导，分钱分最多，祈祷快被投诉查账	哪个单位？工资这么高？
721	后3个月就发基本工资	
722	某学校下属设计院，累死累活年终一个月工资，恶心	重大下面的吗，兄弟
723		同专业，有点惨
724	某创设计院	加班辛苦，累得狠。
725	昨晚同学告知，八大投明年砍绩效。本来收入就不破十万	
726	还谈啥情怀，生活都没保证了  毁灭吧 地球	
727	已经欠几个月工资没发了	
728	降薪 降薪 再降薪	
729		
730		
731		三院的大佬不说下情况吗？都发钱了
732		
733	今年年初一直裁人，从1000+到300+，现在公司基本没有什么新项目，大家都摸鱼大半年。	
734	没项目只发重庆市最低基本工资2100	这你能干五年？我不信
735		这个工资还挺正常呜呜，羡慕
736	从年初开始月发就一降再降，好嘛上个月直接开始发基本工资	
737		
738	7W包含注册补贴，一注结构。	光证书都不止这个价吧？
739	注册证书另外算了5.5w,干建筑，我不行的，我要走了，别留我	
740	地产。大概率要裁员了。	
741	市政，两个月没发工资了 	
742	"只能安慰自己比上不足比下有余了…
"	楼上税前17w，景观且base重庆，哪家啊这么高！！！？？？
743	累成狗还降薪，我去你吗	
744	不知道还能画几年，已经有点画不动的感觉，手下没人	你这里还是重庆比较好的了，看看其他的；行主回复：小项目多，不招人，靠自己抗，工作强度大
745	严抓考勤，估计是要完的企业	
746	裁员降薪，老员工走好几个了，严抓考勤，感觉要完	你怕是在豁我哟 年终15个W（不是年终奖啊，应该叫算产值，有这么多啊。看重点，加班多，差不多就没有耍过，项目难度大）
747	今年加班比较多，发放奖金不及时。项目难度大。	
